stratum,level,turn,survival,ci_lo,ci_hi,n_at_risk,n_events
model_pretty,GPT-5.5,123.0,0.7268518518518519,0.6621826205275633,0.7812070811521526,158,1
model_pretty,GPT-5.5,126.0,0.7222222222222222,0.6573178576028761,0.7769416154193234,157,1
model_pretty,GPT-5.5,131.0,0.7175925925925926,0.6524608433372424,0.772668449701448,156,1
model_pretty,GPT-5.5,138.0,0.7129629629629629,0.6476114674125555,0.7683876978194946,155,1
model_pretty,GPT-5.5,144.0,0.7083333333333334,0.6427696244174381,0.7640994685431468,154,1
model_pretty,GPT-5.5,151.0,0.7037037037037037,0.6379352136055859,0.7598038658454076,153,1
model_pretty,GPT-5.5,168.0,0.6823793490460157,0.6043253761479009,0.7482676835971724,33,1
model_pretty,Opus-4.8,0.0,1.0,1.0,1.0,216,0
model_pretty,Opus-4.8,11.0,0.9953703703703703,0.9675942491283139,0.9993465546607061,216,1
model_pretty,Opus-4.8,12.0,0.9861111111111112,0.9575611341898439,0.9954993374938629,215,2
model_pretty,Opus-4.8,13.0,0.9722222222222223,0.9392189758193584,0.9874240140994548,213,3
model_pretty,Opus-4.8,14.0,0.9583333333333335,0.9214562934151319,0.9781000593591823,210,3
model_pretty,Opus-4.8,74.0,0.9537037037037038,0.9156652723466014,0.9748189496414146,207,1
model_pretty,Opus-4.8,77.0,0.9490740740740742,0.9099298789066879,0.9714705573959976,206,1
model_pretty,Opus-4.8,95.0,0.9444444444444445,0.9042451559774775,0.9680628007612676,205,1
model_pretty,Opus-4.8,96.0,0.9398148148148149,0.8986067336115641,0.9646020911585959,204,1
model_pretty,Opus-4.8,112.0,0.9351851851851852,0.8930107850770126,0.9610937085301621,203,1
model_pretty,Opus-4.8,115.0,0.9305555555555556,0.8874539618714617,0.957542064018139,202,1
model_pretty,Opus-4.8,141.0,0.9259259259259259,0.8819333278231645,0.9539508888561181,201,1
model_pretty,Opus-4.8,150.0,0.9212730318257957,0.8764099928154302,0.9503087505906784,199,1
model_pretty,Opus-4.8,156.0,0.9152907394113425,0.8687441314762826,0.9458411048887102,154,1
model_pretty,Opus-4.8,159.0,0.9059510379887779,0.8548222727906234,0.9397026065450286,98,1
model_pretty,Opus-4.8,166.0,0.8881872921458606,0.8215286205881637,0.9309802051259085,51,1
model_pretty,Opus-4.8,173.0,0.8359409808431628,0.6861680553058774,0.9182736102090123,17,1
affordance_level,none,0.0,1.0,1.0,1.0,144,0
affordance_level,none,13.0,0.9930555555555556,0.9517324941643028,0.9990188544238897,144,1
affordance_level,none,48.0,0.9861111111111112,0.9456112309186862,0.9965082236997774,143,1
affordance_level,none,49.0,0.9722222222222223,0.9276867568262944,0.9894830038772783,142,2
affordance_level,none,55.0,0.9652777777777779,0.9185969961657756,0.9853990861034083,140,1
affordance_level,none,58.0,0.9583333333333335,0.9096109684407587,0.9810624054559088,139,1
affordance_level,none,59.0,0.951388888888889,0.9007417349210869,0.9765249660332502,138,1
affordance_level,none,63.0,0.9375000000000001,0.8833343272163039,0.9669808974810363,137,2
affordance_level,none,64.0,0.9305555555555557,0.8747789671931618,0.9620195561773375,135,1
affordance_level,none,68.0,0.9236111111111113,0.8663110929087104,0.9569535473924686,134,1
affordance_level,none,74.0,0.902777777777778,0.8413612682819642,0.9412362938558523,133,3
affordance_level,none,78.0,0.8958333333333336,0.8331764269638094,0.9358511281391286,130,1
affordance_level,none,91.0,0.8888888888888892,0.8250494961090173,0.9304032282015862,129,1
affordance_level,none,96.0,0.8819444444444448,0.816976554495066,0.9248974186815767,128,1
affordance_level,none,97.0,0.8750000000000003,0.8089541396594504,0.9193378640226578,127,1
affordance_level,none,101.0,0.8680555555555559,0.800979181106302,0.913728188632623,126,1
affordance_level,none,103.0,0.8611111111111115,0.7930489442894275,0.9080715701596935,125,1
affordance_level,none,115.0,0.8541666666666671,0.78516098375174,0.9023708129056934,124,1
affordance_level,none,123.0,0.8472222222222225,0.7773131038984622,0.8966284063242761,123,1
affordance_level,none,126.0,0.8402777777777781,0.7695033260798253,0.8908465721562171,122,1
affordance_level,none,141.0,0.8333333333333337,0.761729860872602,0.8850273027938301,121,1
affordance_level,none,159.0,0.8125000000000003,0.7278263094646474,0.873095766653571,40,1
affordance_level,none,168.0,0.7755681818181822,0.657835295199587,0.8570639015567152,22,1
affordance_level,none,173.0,0.7299465240641715,0.5787371402519794,0.8342845986582553,17,1
affordance_level,low,0.0,1.0,1.0,1.0,144,0
affordance_level,low,44.0,0.9930555555555556,0.9517324941643028,0.9990188544238897,144,1
affordance_level,low,52.0,0.9791666666666667,0.9368061347012656,0.9932329667245207,143,2
affordance_level,low,54.0,0.9722222222222223,0.9276867568262944,0.9894830038772783,141,1
affordance_level,low,62.0,0.9652777777777779,0.9185969961657756,0.9853990861034083,140,1
affordance_level,low,66.0,0.9583333333333335,0.9096109684407587,0.9810624054559088,139,1
affordance_level,low,67.0,0.951388888888889,0.9007417349210869,0.9765249660332502,138,1
affordance_level,low,68.0,0.9444444444444445,0.8919856001437534,0.9718225123444725,137,1
affordance_level,low,71.0,0.9375000000000001,0.8833343272163039,0.9669808974810363,136,1
affordance_level,low,77.0,0.9305555555555557,0.8747789671931618,0.9620195561773375,135,1
affordance_level,low,79.0,0.9236111111111113,0.8663110929087104,0.9569535473924686,134,1
affordance_level,low,95.0,0.9166666666666667,0.85792314748041,0.9517948277549262,133,1
affordance_level,low,100.0,0.9097222222222223,0.8496084790265421,0.9465530833123595,132,1
affordance_level,low,101.0,0.9027777777777779,0.8413612682819642,0.9412362938558522,131,1
affordance_level,low,102.0,0.8958333333333335,0.8331764269638093,0.9358511281391285,130,1
affordance_level,low,112.0,0.8888888888888891,0.8250494961090173,0.930403228201586,129,1
affordance_level,low,120.0,0.8819444444444446,0.816976554495066,0.9248974186815766,128,1
affordance_level,low,131.0,0.8750000000000002,0.8089541396594503,0.9193378640226577,127,1
affordance_level,low,138.0,0.8680555555555558,0.8009791811063018,0.9137281886326228,126,1
affordance_level,low,150.0,0.861055107526882,0.7929662874717995,0.9080347603607878,124,1
affordance_level,low,151.0,0.8540546594982081,0.7849978618595184,0.9022962074290743,123,1
affordance_level,low,156.0,0.8453398160339407,0.7744701843475776,0.8954269306778412,98,1
